Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Megido 72: Nagaki Sen Tabi no Katawara de,"Action,Adventure,Fantasy",12713,16391,6.45,5,4 min. per ep.,Fall 1988
Mechakko Dotakon,"Comedy,Sci-Fi",12709,13776,6.45,28,25 min. per ep.,Spring 1981
Mecha Robot Corps 3,"Action,Adventure",12707,16458,6.45,1,1 hr. 8 min.,Spring 1981
Mebuki,"Action,Adventure",12706,18105,6.45,1,41 min.,Spring 1981
Meeting Place,"Action,Adventure",12710,19856,6.45,1,8 min.,Spring 1981
Mei Li De Xiao Jin Yu,"Action,Adventure",12717,19056,6.45,1,20 min.,Spring 1981
Mei Ya De Laohu,"Action,Adventure",12718,19196,6.45,1,17 min.,Spring 1981
Me Me Xia,"Action,Adventure",12703,19120,6.45,13,13 min. per ep.,Spring 1981
McDull: Xiang Dang Dang Ban Wo Xin,"Action,Adventure",12701,16482,6.45,1,1 hr. 15 min.,Spring 1981
McDull: Fan Bao Qibing,"Action,Sci-Fi",12695,17681,6.45,1,1 hr. 23 min.,Spring 1981
Me & My Robot,"Comedy,Sci-Fi",12702,18727,6.45,52,13 min. per ep.,Winter 2013
McDull and McMug,"Comedy,Sci-Fi",12692,19119,6.45,13,21 min. per ep.,Winter 2013
McDull: Boluo You Wang Zi,"Comedy,Sci-Fi",12693,15404,6.45,1,1 hr. 17 min.,Winter 2013
Mebae no Ashita,"Comedy,Sci-Fi",12705,17941,6.45,1,41 min.,Winter 2013
Mazinger Z x Hello Kitty x Chogokin,"Comedy,Sci-Fi",12691,19855,6.45,1,2 min.,Winter 2013
Mazica Party Movie,"Comedy,Sci-Fi",12690,17067,6.45,1,Unknown,Winter 2013
Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,"Adventure,Comedy,Fantasy",12688,12082,6.45,1,42 min.,Winter 2013
Mayutoro The Toons,"Comedy,Fantasy",12686,16326,6.45,33,2 min. per ep.,Fall 2003
McDull: Chuntian Huahua Zhonghua Bowuguan,"Comedy,Fantasy",12694,15765,6.45,5,19 min. per ep.,Spring 2006
Mecha☆Afro-kun,"Comedy,Fantasy",12708,14547,6.45,1,32 min.,Spring 2006
Maze Maze Wien,"Comedy,Fantasy",12687,17053,6.45,1,4 min.,Spring 2006
Mazica Party,"Comedy,Fantasy",12689,10754,6.45,51,24 min. per ep.,Spring 2021
Mayi He Da Xiang,"Comedy,Fantasy",12683,19172,6.45,1,10 min.,Spring 2021
Mayi Gongzhu,"Drama,Fantasy",12682,18846,6.45,26,19 min. per ep.,Spring 2021
Mayuge no Uta,"Drama,Fantasy",12685,17905,6.45,1,2 min.,Spring 2021
MaxValu Kyushu,"Drama,Fantasy",12679,16325,6.45,1,15 sec.,Spring 2021
Mayi,"Drama,Fantasy",12681,19854,6.45,1,8 min.,Spring 2021
